"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation","minusLog10P","minusLog10FDR","Mean_expression","log2Mean_expression","Direction"
"AQP7P1","Mock","ZIKV",1.70333,0.364215,-2.2255,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.0337725,1.02415830678722,"Down in ZIKV"
"IRF7","Mock","ZIKV",6.33666,10.1876,0.685015,5e-05,"yes",0.000320686218678815,"Not_significant",4.30102999566398,3.49391970324695,8.26213,3.21134400634404,"Not significant"
"DDX58","Mock","ZIKV",1.22326,2.47192,1.0149,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,1.84759,1.50974144000249,"Up in ZIKV"
"IFIT3","Mock","ZIKV",0.149628,0.698178,2.22222,4e-04,"yes",0.00214728312678742,"Up_in_ZIKV",3.39794000867204,2.66811068854246,0.423903,0.509850869488689,"Up in ZIKV"
"IFI44","Mock","ZIKV",0.697663,0.18257,-1.93408,0.00275,"yes",0.0119628717651603,"Down_in_ZIKV",2.56066730616974,1.92216455261749,0.4401165,0.52618552498273,"Down in ZIKV"
"IFIT2","Mock","ZIKV",0.0314251,1.17914,5.22967,0.0051,"yes",0.0206317349137931,"Up_in_ZIKV",2.29242982390206,1.68546425085347,0.60528255,0.682827252243141,"Up in ZIKV"
"ISG15","Mock","ZIKV",7.70044,4.97341,-0.630706,0.00825,"yes",0.0314594972067039,"Not_significant",2.08354605145007,1.50224822265675,6.336925,2.8751755376225,"Not significant"
"IFIT1","Mock","ZIKV",0.697505,0.837336,0.263604,0.2271,"no",0.524390312660174,"Not_significant",0.643782865780265,0.280345339859701,0.7674205,0.821645322907244,"Not significant"
"STAT2","Mock","ZIKV",12.4959,12.8127,0.0361126,0.73645,"no",1,"Not_significant",0.132856733493747,0,12.6543,3.77128344982436,"Not significant"
"STAT1","Mock","ZIKV",10.6504,10.7866,0.0183442,0.86395,"no",1,"Not_significant",0.063511391030874,0,10.7185,3.55071600756074,"Not significant"
"RSAD2","Mock","ZIKV",0.130872,0.0353464,-1.88852,1,"no",1,"Not_significant",0,0,0.0831092,0.115178704032503,"Not significant"
"IFI44L","Mock","ZIKV",0.545,0.21133,-1.36676,1,"no",1,"Not_significant",0,0,0.378165,0.462748624204249,"Not significant"
"OAS1","Mock","ZIKV",0.00309961,0.00800623,1.36903,1,"no",1,"Not_significant",0,0,0.00555292,0.00798900945284373,"Not significant"
"IFIH1","Mock","ZIKV",0.0189563,0.286451,3.91754,1,"no",1,"Not_significant",0,0,0.15270365,0.205021656416056,"Not significant"
"OAS3","Mock","ZIKV",0.00203886,0.0309805,3.92552,1,"no",1,"Not_significant",0,0,0.01650968,0.0236239537183083,"Not significant"
"MX1","Mock","ZIKV",0.00638205,0.256159,5.32687,1,"no",1,"Not_significant",0,0,0.131270525,0.177943967707082,"Not significant"
