"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation"
"AHSA2","Mock","ZIKV",26.1476,10.5201,-1.31353,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CTSC","Mock","ZIKV",9.00863,3.625,-1.31333,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"EHHADH","Mock","ZIKV",1.03987,0.419351,-1.31017,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GRIN2A","Mock","ZIKV",6.04508,2.44353,-1.30679,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ILF3-AS1","Mock","ZIKV",10.6739,4.31579,-1.30639,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OGG1","Mock","ZIKV",12.9112,5.22125,-1.30616,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TCTA","Mock","ZIKV",7.06069,2.8562,-1.30571,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RCCD1","Mock","ZIKV",3.54534,1.43578,-1.30409,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CD9","Mock","ZIKV",3.45071,1.39768,-1.30386,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"NRBP2","Mock","ZIKV",33.0747,13.3988,-1.30362,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KLHDC8A","Mock","ZIKV",56.8669,23.1005,-1.29966,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MMRN1","Mock","ZIKV",28.1489,11.4363,-1.29946,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MFNG","Mock","ZIKV",13.4981,5.49318,-1.29704,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FLJ35282","Mock","ZIKV",4.99299,2.03335,-1.29604,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PSMG4","Mock","ZIKV",8.17794,3.33132,-1.29564,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PIEZO2","Mock","ZIKV",1.72322,0.701977,-1.29561,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CDC45","Mock","ZIKV",13.9584,5.6873,-1.29532,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DKFZP434I0714","Mock","ZIKV",2.91511,1.18814,-1.29484,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SMC2","Mock","ZIKV",12.644,5.15738,-1.29374,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SPRYD4","Mock","ZIKV",2.59759,1.06039,-1.29257,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TIMELESS","Mock","ZIKV",34.4657,14.0795,-1.29157,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"HILPDA","Mock","ZIKV",15.2973,6.24997,-1.29136,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RFC3","Mock","ZIKV",13.1073,5.35879,-1.29039,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C8orf46","Mock","ZIKV",11.5686,4.72983,-1.29036,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"QTRT1","Mock","ZIKV",21.1598,8.65483,-1.28975,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ARMC4","Mock","ZIKV",1.44209,0.589865,-1.2897,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FANCL","Mock","ZIKV",29.4916,12.0635,-1.28966,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GMNN","Mock","ZIKV",27.7379,11.3584,-1.2881,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ESPL1","Mock","ZIKV",9.45665,3.87495,-1.28715,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CENPN","Mock","ZIKV",13.9246,5.71082,-1.28587,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GINS1","Mock","ZIKV",14.3153,5.87109,-1.28586,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CCBL1","Mock","ZIKV",7.81406,3.2051,-1.2857,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SH2D5","Mock","ZIKV",1.97145,0.808943,-1.28515,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DLL3","Mock","ZIKV",96.1273,39.4722,-1.28411,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC9A3","Mock","ZIKV",2.60801,1.07113,-1.28381,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DPM3","Mock","ZIKV",45.0623,18.5117,-1.28349,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"BOK","Mock","ZIKV",3.69955,1.5206,-1.28271,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"IL13RA1","Mock","ZIKV",4.01183,1.65241,-1.27969,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC100131434","Mock","ZIKV",3.62773,1.4967,-1.27728,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PNMA3","Mock","ZIKV",4.08809,1.68874,-1.27548,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"IFI27L1","Mock","ZIKV",16.3793,6.77078,-1.27448,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ALDH1A1","Mock","ZIKV",1.62884,0.673515,-1.27406,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CHRNB4","Mock","ZIKV",22.5705,9.35682,-1.27035,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CPXM1","Mock","ZIKV",40.1174,16.6352,-1.26999,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KIF20A","Mock","ZIKV",20.4341,8.48208,-1.26849,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"AIF1L","Mock","ZIKV",36.5615,15.2063,-1.26566,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MGC45800","Mock","ZIKV",2.36966,0.985954,-1.26509,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PSRC1","Mock","ZIKV",27.9852,11.6529,-1.26398,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TMEM48","Mock","ZIKV",16.1024,6.70737,-1.26346,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FAM107A","Mock","ZIKV",3.78685,1.57753,-1.26333,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"HSD17B8","Mock","ZIKV",7.71744,3.21656,-1.2626,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"EFCAB12","Mock","ZIKV",2.34074,0.97637,-1.26147,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DARS2","Mock","ZIKV",9.84236,4.1147,-1.25822,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC4A4","Mock","ZIKV",1.8992,0.794633,-1.25703,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GTSE1","Mock","ZIKV",17.3506,7.25993,-1.25696,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PAQR4","Mock","ZIKV",16.3454,6.84022,-1.25677,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TIE1","Mock","ZIKV",1.07418,0.449923,-1.25549,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C10orf32","Mock","ZIKV",12.4642,5.22113,-1.25536,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TRIM74","Mock","ZIKV",2.80922,1.17688,-1.2552,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SDC4","Mock","ZIKV",2.21793,0.930706,-1.25282,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
