feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000088986,-11.24388,-0.9736644,2.482252283884493e-29,1.5839121178609903e-26,DYNLL1
ENSG00000178381,11.242337,1.277298,2.526037969135841e-29,1.5950614130317243e-26,ZFAND2A
ENSG00000166598,11.225877,0.58029276,3.0435342615540886e-29,1.9020206536200754e-26,HSP90B1
ENSG00000102804,11.211473,1.2228702,3.5818172575184787e-29,2.215573268709313e-26,TSC22D1
ENSG00000145494,-11.173922,-0.8191347,5.471088909082168e-29,3.350019581612646e-26,NDUFS6
ENSG00000182899,-11.167234,-0.5840264,5.898911292454907e-29,3.57586103637324e-26,RPL35A
ENSG00000138495,-11.131226,-0.9350464,8.841119016687724e-29,5.306334590817754e-26,COX17
ENSG00000165502,-11.1281395,-0.7031522,9.152595487976739e-29,5.439423391035901e-26,RPL36AL
ENSG00000156411,-11.11425,-0.7929189,1.0694490734213646e-28,6.294071202109679e-26,ATP5MJ
ENSG00000124172,-11.106534,-0.6493812,1.1659731345968106e-28,6.79616590828116e-26,ATP5F1E
ENSG00000155090,11.099847,2.137054,1.2565866290207098e-28,7.254573796629181e-26,KLF10
ENSG00000136603,11.07104,1.3743836,1.7337596401751037e-28,9.914978832808926e-26,SKIL
ENSG00000172809,-11.052522,-0.64958954,2.131420856903209e-28,1.2075196348094918e-25,RPL38
ENSG00000124614,-11.03246,-0.5861979,2.6647479439210713e-28,1.4956884778939946e-25,RPS10
ENSG00000130332,-11.005711,-0.8350368,3.586759570945021e-28,1.9947319122120755e-25,LSM7
ENSG00000167553,-10.982563,-1.1515169,4.635834920995157e-28,2.5317088024847336e-25,TUBA1C
ENSG00000130255,-10.983077,-0.5519687,4.609505572295104e-28,2.5317088024847336e-25,RPL36
ENSG00000119705,-10.970217,-0.694542,5.314477818758703e-28,2.8764136687083376e-25,SLIRP
ENSG00000135441,-10.908231,-1.0468062,1.0528519744370435e-27,5.648038392778685e-25,BLOC1S1
ENSG00000188229,-10.8982,-1.099676,1.1755980240550656e-27,6.251190931595967e-25,TUBB4B
ENSG00000087074,10.880196,2.1899984,1.4325483249869156e-27,7.5512736445549425e-25,PPP1R15A
ENSG00000092621,10.868364,0.85451347,1.6309822905249943e-27,8.523147885287467e-25,PHGDH
ENSG00000255302,-10.836986,-1.1939602,2.2992202747773102e-27,1.1912515712540664e-24,EID1
ENSG00000116717,10.805607,1.8352494,3.238081423568253e-27,1.663468286570203e-24,GADD45A
ENSG00000106105,10.797377,0.9620054,3.541789238088366e-27,1.8041993430561233e-24,GARS1
ENSG00000148572,10.792747,1.2612121,3.724867251038974e-27,1.881647732422763e-24,NRBF2
ENSG00000099901,-10.788631,-0.640053,3.89546337273588e-27,1.951562761916333e-24,RANBP1
ENSG00000054148,-10.78143,-0.51391214,4.21285141370237e-27,2.0932691790756064e-24,PHPT1
ENSG00000162496,10.764455,1.0238839,5.066064554409389e-27,2.4967460749897785e-24,DHRS3
ENSG00000242125,-10.723817,-1.2529159,7.868791878073904e-27,3.846760442394855e-24,SNHG3
ENSG00000119013,-10.709928,-0.72165054,9.143333553534117e-27,4.434077893453477e-24,NDUFB3
ENSG00000100216,-10.7063265,-0.6231919,9.505912199741314e-27,4.573324536794593e-24,TOMM22
ENSG00000067167,10.680607,0.79617596,1.2544945917478728e-26,5.941109973215962e-24,TRAM1
ENSG00000125691,-10.680607,-0.6622681,1.2544945917478728e-26,5.941109973215962e-24,RPL23
ENSG00000123416,-10.674948,-1.1930901,1.3333220381975324e-26,6.265476638255521e-24,TUBA1B
