feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000136450,-9.028107,-0.8635407,1.7466706440653956e-19,1.2912369240561002e-16,SRSF1
ENSG00000166598,8.997716,0.49269873,2.3046268389066733e-19,1.683182823466068e-16,HSP90B1
ENSG00000168003,8.931015,0.8608536,4.221161716727024e-19,3.0462214536461365e-16,SLC3A2
ENSG00000196419,-8.873242,-0.39079386,7.10467312963586e-19,5.066802122887015e-16,XRCC6
ENSG00000099956,-8.828507,-0.5795381,1.060815788481202e-18,7.477394451388602e-16,SMARCB1
ENSG00000128272,8.805639,0.6737978,1.3010918372953957e-18,9.065619090230987e-16,ATF4
ENSG00000164587,8.756692,0.32817245,2.010640380717633e-18,1.3850341958945704e-15,RPS14
ENSG00000131462,-8.734626,-0.5700488,2.4446409870906696e-18,1.6650751909713405e-15,TUBG1
ENSG00000100473,-8.714165,-0.78658026,2.929112014257197e-18,1.9728871243584117e-15,COCH
ENSG00000163463,8.711657,0.5227891,2.9946514687489037e-18,1.9948656855394483e-15,KRTCAP2
ENSG00000198856,8.680263,0.5468571,3.948562473625347e-18,2.6017163977032053e-15,OSTC
ENSG00000174903,-8.678959,-0.5899407,3.9940890761317944e-18,2.603415975333691e-15,RAB1B
ENSG00000175634,-8.6593,-0.7803815,4.7467168802790614e-18,3.061076920911026e-15,RPS6KB2
ENSG00000128965,8.627905,3.163373,6.2485753992544425e-18,3.9871830750253166e-15,CHAC1
ENSG00000137818,8.615668,0.3261154,6.953460934980365e-18,4.390748421016403e-15,RPLP1
ENSG00000147403,8.588788,0.2963743,8.789159699596398e-18,5.492681152884888e-15,RPL10
ENSG00000162298,8.572338,1.2715262,1.0140449574271522e-17,6.272488905538423e-15,SYVN1
ENSG00000109475,8.553281,0.35913965,1.1963786841763253e-17,7.325583783442895e-15,RPL34
ENSG00000117632,-8.548065,-0.55460966,1.2516853971534929e-17,7.587591709004758e-15,STMN1
ENSG00000167553,-8.542449,-0.60777986,1.3140696711832063e-17,7.886890039351959e-15,TUBA1C
ENSG00000145907,-8.531014,-0.6083178,1.4506993124763606e-17,8.621562904216127e-15,G3BP1
ENSG00000176890,-8.529009,-0.8746245,1.4760745557065012e-17,8.687200339065281e-15,TYMS
ENSG00000184900,-8.5153675,-0.6379671,1.6606288563500302e-17,9.679390446450238e-15,SUMO3
ENSG00000090520,8.510452,0.56935084,1.7325557617929027e-17,1.0002456926107045e-14,DNAJB11
ENSG00000198855,8.485679,1.8356285,2.1446398380087172e-17,1.2264709654740606e-14,FICD
ENSG00000112306,8.478256,0.32930776,2.2859449623279105e-17,1.2950625950593981e-14,RPS12
ENSG00000171848,-8.44967,-1.1792053,2.921268511149689e-17,1.6396701470128058e-14,RRM2
ENSG00000132507,-8.442749,-0.4795118,3.099591057842987e-17,1.7237991773888442e-14,EIF5A
ENSG00000153561,8.365518,0.591699,5.985163101084663e-17,3.2686000182401004e-14,RMND5A
ENSG00000166165,-8.366521,-0.6819345,5.934457930143667e-17,3.2686000182401004e-14,CKB
ENSG00000101255,8.360202,1.2291062,6.261118796170719e-17,3.388774645581007e-14,TRIB3
ENSG00000105568,-8.328807,-0.5509451,8.16608568434886e-17,4.3807075053056956e-14,PPP2R1A
ENSG00000135821,-8.312358,-0.63959634,9.381894984183549e-17,4.988781509177391e-14,GLUL
