"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PlotGene","Regulation","minusLog10Padj"
"201305",59.113416485399,-1.55152762105246,0.270742688204639,-5.73063535470163,1.00055149725044e-08,3.12530749779425e-07,"201305","Down",6.5051072461518
"284194",55.6040656726911,-2.39859377611186,0.418559984911212,-5.73058548972535,1.0008456974149e-08,3.12530749779425e-07,"284194","Down",6.5051072461518
"2334",31.8248223057355,-1.37511939503719,0.240379023340826,-5.72062976180519,1.06129937176158e-08,3.30673586962168e-07,"2334","Down",6.48060049360974
"57690",801.830849686448,-1.0556710938398,0.184707482374971,-5.71536724049275,1.09467355968138e-08,3.40317541164661e-07,"57690","Down",6.4681156652601
"11238",348.47336480364,-1.03467597601641,0.18153372477278,-5.69963502545593,1.20064195838783e-08,3.66932773454726e-07,"11238","Down",6.43541349648913
"27115",18.1689313434476,-1.6139659134446,0.283173804045444,-5.6995593885711,1.20117474942481e-08,3.66932773454726e-07,"27115","Down",6.43541349648913
"59285",24.8974868685544,-2.97402322517728,0.521797236088885,-5.69957642449197,1.20105472727126e-08,3.66932773454726e-07,"59285","Down",6.43541349648913
"770",91.1502947024271,-1.33319380193894,0.23441738023223,-5.68726517043313,1.29089931698066e-08,3.91786548643892e-07,"770","Down",6.40695047888241
"326624",1532.54265744394,-1.19191759229765,0.210337212031105,-5.66669863495855,1.4557505078178e-08,4.26105720247638e-07,"326624","Down",6.37048263558291
"924",2793.85019239692,-1.27878341667571,0.225776161000506,-5.66394348725261,1.47933145159231e-08,4.31277293729773e-07,"924","Down",6.36524340637399
"53822",45.7325292225398,-2.27369380073881,0.402801272323616,-5.64470362177032,1.65466042524513e-08,4.73549659787057e-07,"53822","Down",6.32463447106278
"221476",42.2749379677088,-1.76555093284212,0.31428289014037,-5.61771253934175,1.93502076579595e-08,5.46002244999291e-07,"221476","Down",6.26280557160149
"51754",158.729400708606,-1.18236583243945,0.210565187722775,-5.61520090394109,1.96333992167397e-08,5.52882817221695e-07,"51754","Down",6.25736690708018
"55190",13.4981628999548,-2.13744732155636,0.38132582478332,-5.60530439492503,2.07889282088456e-08,5.81924341017329e-07,"55190","Down",6.23513347654363
