"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PlotGene","Regulation","minusLog10Padj"
"890",502.719397657099,3.82235324025262,0.456052743305276,8.38138416304621,5.23088664240649e-17,1.93432681839726e-14,"890","Up",13.7134701468842
"11004",232.866476445961,3.78194691820681,0.453639655435681,8.33689663787126,7.62656728703945e-17,2.74791085942252e-14,"11004","Up",13.5609973596361
"28231",115.199364631782,3.36657930625806,0.404321066053081,8.32649987575982,8.32676297488949e-17,2.92519183307868e-14,"28231","Up",13.5338456477645
"4907",232.645239084918,-1.78453096769216,0.214790884528926,-8.30822486534263,9.71443102572029e-17,3.2236960824746e-14,"4907","Down",13.4916459085313
"728833",55.1893280179182,2.76566737705846,0.332956094861485,8.30640261506255,9.86471189484828e-17,3.2236960824746e-14,"728833","Up",13.4916459085313
"9833",139.68229562086,4.06511082544604,0.489291255134812,8.30816161700253,9.71960909042903e-17,3.2236960824746e-14,"9833","Up",13.4916459085313
"7153",821.822543399902,3.72499658868283,0.449228587556383,8.29198473085889,1.11374230201759e-16,3.55688791544345e-14,"7153","Up",13.4489298200747
"729533",109.140049291747,1.99178191277376,0.240450379948532,8.28354653962326,1.19560220654754e-16,3.73346715697912e-14,"729533","Up",13.4278876647738
"9319",189.189017161308,3.84709159972407,0.465196547351215,8.26981976033365,1.34161681582613e-16,4.09834771651929e-14,"9319","Up",13.3873911974821
"23544",60.756628272545,-3.00876486884653,0.364040747257286,-8.26491235257267,1.39797417397286e-16,4.17964533886525e-14,"23544","Down",13.3788605684423
"8836",277.240037592915,4.12649544465384,0.500513989179778,8.24451570557733,1.6583047692882e-16,4.85468721209122e-14,"8836","Up",13.3138387464849
"57593",28.5476622735381,-2.7411233048774,0.333428916552641,-8.22101254209798,2.01792159868879e-16,5.65044702900873e-14,"57593","Down",13.2479171920829
"7205",165.523832144799,1.41101684146352,0.171603770338558,8.22252820366197,1.99257424085374e-16,5.65044702900873e-14,"7205","Up",13.2479171920829
"990",318.305062421771,3.95538585269889,0.481244553001413,8.21907661713789,2.05076002333792e-16,5.65044702900873e-14,"990","Up",13.2479171920829
"7345",138.595320069057,5.58267589554977,0.68027575126185,8.20648962600007,2.27749215451822e-16,6.15448456832501e-14,"7345","Up",13.2108083129204
"55388",201.116840219326,4.25944382245188,0.519552452194231,8.19829413654566,2.43822172483355e-16,6.46450786365302e-14,"55388","Up",13.1894645319182
"6035",259.312067542343,5.1376166644974,0.627707265714289,8.18473346592719,2.72906981786405e-16,7.10164612604178e-14,"6035","Up",13.1486409723239
"113130",327.577709876288,3.77510396645004,0.461541820835494,8.17933239422649,2.8542077082236e-16,7.27295473403458e-14,"113130","Up",13.138289115415
"9700",220.125166234273,3.70254095291331,0.452772855973282,8.17747995284372,2.89841634718144e-16,7.27295473403458e-14,"9700","Up",13.138289115415
"22974",660.361182736453,3.53412934336418,0.434888820131145,8.12651229410411,4.41818710767997e-16,1.08919939012489e-13,"22974","Up",12.9628926105064
"891",249.08564646275,3.63746590695876,0.44796857673895,8.11991308282872,4.66517665120222e-16,1.13025969487403e-13,"891","Up",12.9468217590893
"9156",125.907647021148,4.07668126666902,0.503051781164739,8.10389987533706,5.32249134622671e-16,1.26765505757928e-13,"9156","Up",12.8969989065253
"8318",168.728518319773,3.80790938927323,0.471972305813198,8.06807802570595,7.14134058479308e-16,1.67250196495854e-13,"8318","Up",12.7766333633239
"3833",371.377045968296,3.6019559646291,0.446732768787203,8.06288729257032,7.45132180834502e-16,1.71649137788302e-13,"3833","Up",12.7653583737397
"63967",215.98209237149,3.11137441087716,0.387552079858238,8.02827432126093,9.88532498236049e-16,2.24046107503435e-13,"63967","Up",12.6496625969617
