"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ENSG00000137944","OK",0.000851281954488437,3.13773902849276,0.0197177751135489,"ENSG00000137944",0.00208037512692251
"ENSG00000130787","OK",0.000852403828804011,3.13735295155098,0.0186190964164575,"ENSG00000130787",0.00208275891721001
"ENSG00000091542","OK",0.000854833038425144,3.13651857298891,0.019714604349622,"ENSG00000091542",0.00208833567597403
"ENSG00000198909","OK",0.000869530568657858,3.13151633095219,0.0189471144161101,"ENSG00000198909",0.00212387657187373
"ENSG00000171940","OK",0.000875200245683151,3.12960743902661,0.0195162245931529,"ENSG00000171940",0.00213735801757408
"ENSG00000141012","OK",0.000876322945427842,3.12923079265022,0.0195953934662389,"ENSG00000141012",0.00213973240391763
"ENSG00000149658","OK",0.00087770316468187,3.12876836042962,0.019644353327807,"ENSG00000149658",0.00214273465692932
"ENSG00000124143","OK",0.000888796520073432,3.12507570700331,0.0175681262539212,"ENSG00000124143",0.00216944446627843
"ENSG00000081189","OK",0.000891254035951631,3.12426340739549,0.0190911367458052,"ENSG00000081189",0.00217506969000344
"ENSG00000187147","OK",0.000892964124206701,3.1236993741124,0.019399493796833,"ENSG00000187147",0.00217886922947193
"ENSG00000135040","OK",0.000895688902522936,3.12280271670352,0.0195937772668158,"ENSG00000135040",0.00218514292634369
"ENSG00000166352","OK",0.000898501952010194,3.12187963794649,0.0194991571719421,"ENSG00000166352",0.00219162978278871
"ENSG00000037042","OK",0.000907560107737846,3.11892522113431,0.0195215933623031,"ENSG00000037042",0.00221334489237918
"ENSG00000169221","OK",0.00092379257673723,3.11369796861018,0.0188938691404558,"ENSG00000169221",0.00225254617159843
"ENSG00000183161","OK",0.000927956589033471,3.11237066033062,0.0195139811024948,"ENSG00000183161",0.00226231171851612
"ENSG00000244879","OK",0.000929159891821496,3.11198811817609,0.0195278160853388,"ENSG00000244879",0.0022648570936379
"ENSG00000064703","OK",0.000929691840630636,3.11181915131269,0.0195288783356395,"ENSG00000064703",0.00226576542996736
"ENSG00000090372","OK",0.000935556154340121,3.10996228924066,0.0193350214725514,"ENSG00000090372",0.00227966681226307
"ENSG00000119559","OK",0.000935994084666614,3.10982405345185,0.0194022487318079,"ENSG00000119559",0.00228034324532601
"ENSG00000099331","OK",0.00093993419735595,3.10858299414029,0.0190265845578074,"ENSG00000099331",0.00228955028069767
"ENSG00000112739","OK",0.00094277696849755,3.10769054041992,0.0195155939755254,"ENSG00000112739",0.00229608164776381
"ENSG00000135211","OK",0.000943749399360855,3.10738582479019,0.0194724473233309,"ENSG00000135211",0.00229805644703123
"ENSG00000267575","OK",0.000956420945549312,3.1034412808629,0.0193129876546924,"ENSG00000267575",0.00232851337017252
"ENSG00000136098","OK",0.000956867887097009,3.10330302992353,0.0194382426617415,"ENSG00000136098",0.00232920279962019
"ENSG00000092094","OK",0.000962146286197346,3.10167475062923,0.0195316054118451,"ENSG00000092094",0.00234165068935401
"ENSG00000168818","OK",0.000963065051499548,3.10139216861284,0.0195198845179095,"ENSG00000168818",0.00234348575320412
"ENSG00000171159","OK",0.000972646624277558,3.09845985260577,0.0192980556856746,"ENSG00000171159",0.00236639632861781
"ENSG00000152359","OK",0.000973959075199446,3.09806026122054,0.0192607032296166,"ENSG00000152359",0.00236918418446412
"ENSG00000125875","OK",0.000975839262078077,3.09748867638183,0.0193749037244264,"ENSG00000125875",0.00237335188518066
