"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"WIPF1","ZIKV_positive_vs_Mock",18.9529209096724,-1.048446790212,0.339246885821163,3.29887817871618e-05,0.00153627227501538
"PPP1R10","ZIKV_positive_vs_Mock",10.8734669311055,1.15853829997131,0.384645826990038,3.44561818888007e-05,0.00159405178317136
"SLFN5","ZIKV_positive_vs_Mock",12.2361781158584,1.23869327989182,0.422279434068225,3.50840447502542e-05,0.00160378894398112
"RARRES3","ZIKV_positive_vs_Mock",8.36478308104396,2.68476360772047,1.42130598411008,3.54888456109809e-05,0.00160378894398112
"SLA","ZIKV_positive_vs_Mock",8.95712744526996,-1.4437127516133,0.538386391486268,3.55550470986019e-05,0.00160378894398112
"SESN2","ZIKV_positive_vs_Mock",6.50100758001826,1.48188517874241,0.563100001281388,3.55789356173286e-05,0.00160378894398112
"ETV7","ZIKV_positive_vs_Mock",6.62823113892772,2.75093015747529,1.49739475165939,3.71372371790301e-05,0.0016633697569614
"EMP1","ZIKV_positive_vs_Mock",14.8579651668418,-1.25692114495775,0.436485622198592,3.78253083156973e-05,0.00168346562073407
"CSRNP1","ZIKV_positive_vs_Mock",10.6341778649278,1.73696405414186,0.762321466450107,4.00889315634614e-05,0.00176190854221413
"TAP2","ZIKV_positive_vs_Mock",19.0702595219617,1.19157016923518,0.411654084481175,4.21127768769622e-05,0.0018393605403652
"PLK3","ZIKV_positive_vs_Mock",16.1461111372643,1.00940762369454,0.34860071782592,5.43789741101891e-05,0.00231753300571424
"CD14","ZIKV_positive_vs_Mock",90.9451200556808,-1.27592678309178,0.47886950776477,5.6291475798839e-05,0.00237030932824812
"IFI6","ZIKV_positive_vs_Mock",242.485941246663,1.09338362527465,0.386944400659704,5.80784651927769e-05,0.00243099861449766
"PSME2P2","ZIKV_positive_vs_Mock",14.3357475030196,1.15964577764089,0.431220722114506,6.92908361619015e-05,0.00283286720866565
"MCOLN2","ZIKV_positive_vs_Mock",19.8603379967743,1.09718598076307,0.401396461084637,7.06357459981955e-05,0.00287115934022723
"AEN","ZIKV_positive_vs_Mock",6.92197645208065,1.354031976041,0.558717536611713,7.30769558165958e-05,0.00295331697300173
"NOCT","ZIKV_positive_vs_Mock",3.58227432417724,1.90610990531032,1.08837376556143,8.45170857920834e-05,0.00335776354401091
"CASP3","ZIKV_positive_vs_Mock",13.463829997135,1.06619430677946,0.400444931516615,8.63072467605186e-05,0.00337305349794362
"SLC36A1","ZIKV_positive_vs_Mock",6.58253300213082,-1.35596117362978,0.581456853203432,8.56102639859252e-05,0.00337305349794362
"SOCS1","ZIKV_positive_vs_Mock",4.52544991386316,2.28662428615021,1.51443295653145,8.89302836378005e-05,0.00344112641023556
"GTF2A1","ZIKV_positive_vs_Mock",6.23715578093325,1.27622874743162,0.534784884019724,9.50166391991344e-05,0.00363170975754105
"LAP3P2","ZIKV_positive_vs_Mock",17.1966693886973,1.14485748375671,0.451460233800553,9.72730810232375e-05,0.00367755003094304
"TNFRSF9","ZIKV_positive_vs_Mock",9.19128644960773,1.08030651533581,0.423089823980868,0.000106140099137814,0.00399132180287225
"N4BP2L1","ZIKV_positive_vs_Mock",7.70444888970991,1.20271156967752,0.501269757938137,0.000110994048812121,0.00415164974067466
"RSAD2","ZIKV_positive_vs_Mock",117.808639141442,2.00180089009588,1.32699198126905,0.000116376442677971,0.00430715339427102
"OLFML2B","ZIKV_positive_vs_Mock",7.18271540618507,-1.45811542479771,0.730069244418708,0.000117272249646385,0.00431758355766168
"KCNE3","ZIKV_positive_vs_Mock",5.81735265862961,-1.42853478268702,0.701819097015925,0.000118002978822676,0.00432185909938051
"HIST1H1D","ZIKV_positive_vs_Mock",9.81369036087233,-1.55064477940398,0.845918930255492,0.000125854524094757,0.00453850776120169
"SPHK1","ZIKV_positive_vs_Mock",12.3990338204789,1.23742465286352,0.54395098554895,0.000127452093009585,0.0045726689696092
"FBXO6","ZIKV_positive_vs_Mock",16.6802482964819,1.12356913830956,0.466625877855802,0.000130425491494638,0.00463208109187018
