miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT2612890,hsa-miR-2355-5p,hsa,RNF170,81790.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2689836,hsa-miR-361-3p,hsa,RNF170,81790.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1311580,hsa-miR-361-3p,hsa,RNF185,91445.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1311596,hsa-miR-4511,hsa,RNF185,91445.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1311843,hsa-miR-28-5p,hsa,RNF207,388591.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2689864,hsa-miR-3135b,hsa,RNF207,388591.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1311855,hsa-miR-324-3p,hsa,RNF207,388591.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1311912,hsa-miR-654-5p,hsa,RNF207,388591.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1312013,hsa-miR-28-5p,hsa,RNF213,57674.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1312050,hsa-miR-409-3p,hsa,RNF213,57674.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2317314,hsa-miR-4511,hsa,RNF213,57674.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2613220,hsa-miR-361-3p,hsa,RNF215,200312.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1312330,hsa-miR-140-3p,hsa,RNF220,55182.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1312388,hsa-miR-3135b,hsa,RNF222,643904.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2317509,hsa-miR-324-3p,hsa,RNF26,79102.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2613398,hsa-miR-361-3p,hsa,RNF26,79102.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2613443,hsa-miR-4470,hsa,RNF38,152006.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1312786,hsa-miR-4498,hsa,RNF38,152006.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1312794,hsa-miR-4511,hsa,RNF38,152006.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1313092,hsa-miR-3125,hsa,RNF41,10193.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1313031,hsa-miR-3135b,hsa,RNF41,10193.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2613493,hsa-miR-4470,hsa,RNF41,10193.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2093170,hsa-miR-576-3p,hsa,RNF41,10193.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1313152,hsa-miR-1262,hsa,RNF4,6047.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2317731,hsa-miR-3125,hsa,RNF4,6047.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2317738,hsa-miR-324-3p,hsa,RNF4,6047.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2317767,hsa-miR-4470,hsa,RNF4,6047.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2317837,hsa-miR-361-3p,hsa,RNF43,54894.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2093363,hsa-miR-3135b,hsa,RNF5,6048.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2093374,hsa-miR-654-5p,hsa,RNF5,6048.0,hsa,CLIP-seq,Functional MTI (Weak),
