SYM,lfc,padj,dir
ABCD1P5,0.0,1.0,ns
ABCD2,-0.006638081218283041,0.15735782153041902,ns
ABCD3,-0.21840029686067552,0.17234593492626896,ns
ABCD4,0.12230873590650404,0.37875552753517683,ns
ABCE1,0.29111330071615527,0.22333463133312792,ns
ABCF1,0.1747750510737034,0.2701746597014641,ns
ABCF2,0.13476494551533147,0.7671814337805574,ns
ABCF2P1,-0.049949714761073294,0.739645136388165,ns
ABCF2P2,0.0,1.0,ns
ABCF3,0.2614408968390891,0.06002604819729669,ns
ABCG1,-0.4503609851000283,0.8701373060600397,ns
ABCG2,0.008828691302917184,1.0,ns
ABCG4,-0.004374868302014945,0.9423645789576844,ns
ABCG5,0.0012324934376081707,0.609038867302918,ns
ABCG8,0.0,1.0,ns
ABHD1,0.0218275921955248,0.7866779918415095,ns
ABHD10,-0.5036251597414436,0.0400059705542585,ns
ABHD11,-0.10350088128033441,0.9134575934657048,ns
ABHD11-AS1,0.06673468781086564,0.577922341598081,ns
ABHD12,0.15245293257815806,0.7683989337163697,ns
ABHD12B,0.0,1.0,ns
ABHD13,0.035574933543029985,1.0,ns
ABHD14A,-0.3005248525658031,0.23890529300761595,ns
ABHD14A-ACY1,-0.016201470100371207,1.0,ns
ABHD14B,-0.5093486238959843,0.0011471030360651945,ns
ABHD15,-0.18398807243523807,0.34578358860783037,ns
ABHD15-AS1,0.07466972915884437,0.4746200595800094,ns
ABHD16A,0.19261259989511226,0.22307342363509955,ns
ABHD16B,0.0,1.0,ns
ABHD17A,0.7139531554299675,0.23602995588711384,ns
ABHD17AP1,0.10282759307639744,0.7844884580729145,ns
ABHD17AP3,0.015181378997105442,1.0,ns
ABHD17AP4,-0.023699648367059734,1.0,ns
ABHD17AP5,-0.0009383807664694391,1.0,ns
ABHD17AP6,0.003167011370913169,0.609038867302918,ns
ABHD17AP7,0.0,1.0,ns
ABHD17AP8,0.0,1.0,ns
ABHD17AP9,0.0,1.0,ns
ABHD17B,0.36874345664031294,0.05316073647071765,ns
ABHD17C,0.11665501829170982,0.609038867302918,ns
ABHD18,-0.05033698418213639,0.6962416092756708,ns
ABHD2,-0.2257971534760701,0.5982460678133437,ns
ABHD3,0.16090730148671506,0.29478592386513497,ns
ABHD4,-0.046391765740486424,1.0,ns
ABHD5,0.39968960937044606,0.3086944389461323,ns
ABHD6,0.1085625483252115,0.804396960674961,ns
ABHD8,0.34658428978628075,0.3979375039548815,ns
ABI1,0.03529286866299586,1.0,ns
ABI1P1,0.004090440555081742,1.0,ns
ABI2,-0.023651793472635796,0.8138603712439196,ns
ABI3,-0.8372921138269244,0.025203889936830957,down
ABI3BP,0.0024503194404148416,0.6537548757560917,ns
ABL1,-0.11845125246662969,0.7170031581138085,ns
ABL2,0.362947135925058,0.053280784269436963,ns
ABLIM1,0.0005582203958001894,1.0,ns
ABLIM2,-0.0708265910817333,0.06692740894134518,ns
ABLIM3,-0.17721141028089887,0.6063274687437266,ns
ABO,-0.01553104435316448,0.49007372935375687,ns
ABR,0.00673949701580856,1.0,ns
ABRA,0.0,1.0,ns
ABRACL,-0.36440876790378285,0.5609706530465018,ns
ABT1,0.1696731703828196,0.26664755402165147,ns
ABT1P1,-0.012326805642222279,0.8460795663047407,ns
ABTB1,-0.23565087786689842,0.4574697441001402,ns
ABTB2,0.6461375549646642,0.09025702955045722,ns
AC000032.2,0.0,1.0,ns
AC000035.3,0.015666269265221886,0.6324321762195443,ns
AC000036.4,0.0,1.0,ns
AC000041.8,0.0,1.0,ns
AC000067.1,0.0,1.0,ns
AC000068.10,0.060448110459144444,0.43672159996147225,ns
AC000068.5,0.07598297224045647,0.015317335813038629,ns
AC000068.9,0.10819762726203769,0.306273107847319,ns
AC000077.2,0.010623212967181283,0.41109213146158086,ns
AC000078.5,-0.059301925856725154,0.405769625559985,ns
AC000081.2,-0.055224245738972076,0.6762862239870359,ns
AC000089.3,-0.2266379995422515,0.4205394223608517,ns
AC000095.9,0.09795250001397814,0.08347806569882014,ns
AC000099.1,0.0,1.0,ns
AC000111.3,0.0,1.0,ns
AC000111.6,0.0,1.0,ns
AC000120.7,-0.15082644375506127,0.46494930447682786,ns
AC000123.2,0.1944859604381981,0.19030975918056392,ns
AC000123.3,0.5101595378754447,0.03612773524397735,ns
AC000123.4,0.0,1.0,ns
AC000124.1,0.0,1.0,ns
AC000362.1,0.0,1.0,ns
AC000367.1,0.0,1.0,ns
AC000370.2,0.0,1.0,ns
AC000374.1,0.0,1.0,ns
AC000403.4,-0.007324029041591018,1.0,ns
AC001226.7,0.2728152080028131,0.33831878978428387,ns
AC002044.1,-0.3004390427621195,0.4507708565805335,ns
AC002044.3,-0.436349242673729,0.00022039006322371145,ns
AC002056.3,0.2076738463276222,0.14769620183459642,ns
AC002056.5,0.0,1.0,ns
AC002059.10,0.10356751560203903,0.6208111571386364,ns
AC002064.4,0.0,1.0,ns
AC002064.5,0.0,1.0,ns
AC002064.7,0.009438775248838786,1.0,ns
AC002066.1,0.0,1.0,ns
AC002069.6,0.015700795586519517,0.44984504166431666,ns
AC002075.3,0.011074518082254086,0.645384202456581,ns
AC002075.4,-0.1771850585098127,0.6548998822125052,ns
AC002076.10,0.0,1.0,ns
AC002115.9,0.026785609820679228,0.4896269182031619,ns
AC002116.7,0.03447183159177493,0.909465721102529,ns
AC002116.8,-0.002291237208561725,1.0,ns
AC002117.1,0.137519511302842,0.6017359410615819,ns
AC002127.4,0.0,1.0,ns
AC002128.5,0.01299817575046762,1.0,ns
AC002306.1,-0.014571935134649968,0.6564089936800802,ns
AC002310.10,0.10543616617119098,0.36290276576263597,ns
AC002310.11,0.25377112510353683,0.26231037475000396,ns
AC002310.12,0.0016684831046001602,1.0,ns
AC002310.13,0.35993287220959536,0.4041853770321458,ns
AC002310.14,0.038669073342627425,0.029839100945362105,ns
AC002310.17,0.0,1.0,ns
AC002310.7,-0.014471546977845402,0.6208111571386364,ns
AC002366.3,-0.13693582758619827,0.08626985652700175,ns
AC002368.4,0.0,1.0,ns
AC002383.2,0.0,1.0,ns
AC002386.1,0.0,1.0,ns
AC002398.11,-0.007132056762301455,0.9433150169985614,ns
AC002398.12,-0.030539198369600465,1.0,ns
AC002398.13,0.012560371417660638,0.6324321762195443,ns
AC002398.9,0.34149834348635943,0.24458871319640826,ns
AC002400.1,0.00618137291672149,0.609038867302918,ns
AC002401.1,0.020888078919566493,0.6548998822125052,ns
AC002407.3,0.0,1.0,ns
AC002429.5,0.0,1.0,ns
AC002451.3,0.020120148363880864,0.9299417882186025,ns
AC002454.1,0.01246673247820729,0.6324321762195443,ns
AC002456.2,0.6119282039959084,0.04653896736962443,up
AC002463.3,0.0,1.0,ns
AC002465.2,0.0,1.0,ns
AC002467.7,0.17308269108473423,0.507011653341173,ns
AC002472.11,-0.04024832253652691,0.4507891307791874,ns
AC002472.16,0.041544188765310075,0.1694145509815515,ns
AC002472.8,-0.007008913637345481,1.0,ns
AC002480.2,-0.07300182727380124,0.047146200115119254,ns
AC002480.3,-0.0062891345298234785,1.0,ns
AC002480.4,-0.017817397277188177,0.6431249297781559,ns
AC002480.5,-0.0365849252892409,1.0,ns
AC002486.2,-0.11264425531545708,0.5234095740434432,ns
AC002486.3,0.01370018991480448,0.6324321762195443,ns
AC002511.2,0.16878259695561984,0.0766539810843595,ns
AC002511.3,0.32101411008176456,0.015317335813038629,ns
AC002519.6,0.14338446582343806,0.18666376453403696,ns
AC002519.8,0.396155281868909,0.08332366560825759,ns
AC002523.1,0.0,1.0,ns
AC002539.1,0.0,1.0,ns
AC002543.2,-0.004442348892016624,0.9479900681222146,ns
AC002550.5,0.023311498447032397,1.0,ns
AC002550.6,-0.1541969634044974,0.6431249297781559,ns
AC002551.1,-0.10099178068558884,0.27550260863593873,ns
AC002553.4,0.02101144208448515,0.6431249297781559,ns
AC002984.2,-0.02010820140651254,0.6431249297781559,ns
AC002985.3,0.06693394783544271,1.0,ns
AC003002.4,-0.08122611949361447,0.8014239125578383,ns
AC003002.6,-0.06577164194255958,0.9574438122305835,ns
AC003005.2,0.024312994016167162,0.5475449996305318,ns
AC003005.4,0.06739133494024185,0.9881990721179558,ns
AC003006.7,-0.19391306331884084,0.4471043758345287,ns
AC003009.1,0.0,1.0,ns
AC003045.1,0.0,1.0,ns
AC003075.4,0.1035533786316482,0.053403138346628146,ns
AC003080.4,0.10718260066601859,0.7487374300992308,ns
AC003084.2,0.0,1.0,ns
AC003088.1,0.0,1.0,ns
AC003090.1,-0.005249471783715538,0.6455671989525215,ns
AC003092.1,-0.00023513490233497206,1.0,ns
AC003092.2,0.0,1.0,ns
AC003101.1,0.10307914270003349,0.930166476263678,ns
AC003104.1,-0.12193155972956804,0.6208111571386364,ns
AC003682.16,0.08140248881125879,0.6208111571386364,ns
AC003956.1,0.0,1.0,ns
AC003958.2,-0.004302820271656405,0.6431249297781559,ns
AC003958.6,0.0,1.0,ns
AC003973.3,-0.0013840525356784948,1.0,ns
AC003973.4,0.0033656820406107618,0.6208111571386364,ns
AC003973.5,0.0,1.0,ns
AC003984.1,0.0,1.0,ns
AC003985.1,0.0,1.0,ns
AC003986.5,0.0,1.0,ns
AC003986.6,0.0,1.0,ns
AC003986.7,0.017441321165644563,0.4516172172186985,ns
AC003988.1,0.0,1.0,ns
AC003989.4,0.0,1.0,ns
AC003991.3,0.023434145763739346,0.6092158259354999,ns
AC004006.2,-0.03800037339505868,0.660365103178439,ns
AC004009.1,0.0,1.0,ns
AC004009.2,0.0,1.0,ns
AC004009.3,0.0,1.0,ns
AC004012.1,0.0,1.0,ns
AC004014.3,0.0,1.0,ns
AC004019.10,-0.02749953171926012,0.632284133051371,ns
AC004019.13,0.20893917207530122,0.06221334506879462,ns
AC004022.8,0.0,1.0,ns
AC004051.2,0.0,1.0,ns
AC004054.1,0.0,1.0,ns
AC004057.1,0.0,1.0,ns
AC004062.2,0.0,1.0,ns
AC004063.1,0.0,1.0,ns
AC004066.2,0.0,1.0,ns
AC004066.3,0.0,1.0,ns
AC004067.5,0.06184534096470154,0.8597138145171191,ns
AC004069.1,0.040782513555786055,0.5036072059490224,ns
AC004069.2,0.015063624409273724,1.0,ns
AC004070.1,0.0,1.0,ns
AC004074.4,0.0,1.0,ns
AC004076.5,-0.031197732279436244,0.7175179575355692,ns
AC004076.7,-0.12852698042363014,0.47239942141679425,ns
AC004076.9,-0.14623090070208533,0.6431249297781559,ns
AC004112.4,0.0,1.0,ns
AC004129.7,0.0,1.0,ns
AC004129.9,0.0,1.0,ns
AC004156.3,-0.0024752139805228716,1.0,ns
AC004158.3,0.004472385507361896,0.9087230677768117,ns
AC004160.4,0.0,1.0,ns
AC004221.2,0.0,1.0,ns
AC004231.2,0.0,1.0,ns
AC004237.1,0.0,1.0,ns
AC004257.1,-0.009443175348808428,1.0,ns
AC004381.6,0.09053255585682374,0.38512863519619545,ns
AC004381.7,-0.10955288906727745,0.5526139781790824,ns
AC004381.8,-0.015066140573190376,0.6431249297781559,ns
AC004383.3,-0.001094085000438172,1.0,ns
AC004386.4,-0.2931308160701339,0.28575421066921236,ns
AC004448.5,0.0,1.0,ns
AC004449.6,0.04505018152083251,0.3329570762378574,ns
AC004453.8,0.14515375010188603,0.9406228624929351,ns
AC004461.4,0.0,1.0,ns
AC004471.10,0.0320922347263426,0.046908545256122966,ns
AC004471.9,-0.013218860298364235,0.9996492949149013,ns
AC004485.3,0.0,1.0,ns
AC004490.1,0.0,1.0,ns
AC004535.2,0.0,1.0,ns
AC004538.3,0.006371609341447663,0.6208111571386364,ns
AC004540.4,0.0003082069991360188,1.0,ns
AC004540.5,0.1136943125375415,0.431530685025314,ns
AC004543.2,0.0,1.0,ns
AC004549.6,0.10003348703492251,0.293525566138141,ns
AC004593.3,0.0,1.0,ns
AC004623.2,0.0,1.0,ns
AC004623.3,0.0,1.0,ns
AC004637.1,0.0,1.0,ns
AC004691.5,0.0,1.0,ns
AC004692.4,0.0,1.0,ns
AC004692.5,0.0,1.0,ns
AC004702.2,0.34379696739004184,0.09094608857773759,ns
AC004744.3,0.0,1.0,ns
AC004754.3,-0.008395846678973307,1.0,ns
AC004775.5,0.03477946630866975,0.5653840592849445,ns
