entrez,lfc,padj,SYM,dir
100272147,-0.3958412901535988,0.005339837666293852,CMC4,ns
100287036,-0.618951446392134,0.012618412327958036,LOC100287036,down
100287171,-0.3173294599157508,0.25328477116328546,WASHC1,ns
100287482,-0.6486812483650386,0.0001913920226277213,SMKR1,down
100287896,-0.4158638727565753,0.05972850720286106,LIPT2-AS1,ns
100287898,-0.36819014424800667,0.26893838963171807,TTC34,ns
100287932,0.741207606836209,0.0002422562514611605,TIMM23,up
100288142,-0.3399324529349119,0.15320577437876418,NBPF20,ns
100288332,-0.29227191134789265,0.14893094952258884,NPIPA5,ns
100288695,-0.2059556264219271,0.42187587344173244,LIMS4,ns
100289187,0.17282158572858286,0.31735884296527017,TMEM225B,ns
100289279,-1.422080553208751,0.03071200941509261,CNTNAP3C,down
100289561,-0.10200782431560018,0.5820858498091761,LOC100289561,ns
100289635,-0.19606716427627013,0.21378610515228413,ZNF605,ns
100289678,-0.30755766779588356,0.016403954839818675,ZNF783,ns
100293516,0.22549839809572791,0.28214235891147865,ZNF587B,ns
100302652,0.6949357776335647,0.2565283829498221,GPR75-ASB3,ns
100302736,0.16726552003951323,0.5857688776349219,TMED7-TICAM2,ns
100303755,0.29929399003003443,0.08537381607549353,PET117,ns
100310812,-0.02723117513011175,0.943462714849471,SPDYE2B,ns
100316904,-1.0295123530906611,0.07369682052766152,SAP25,ns
10036,1.1581413145627284,0.00020084187928490863,CHAF1A,up
10038,0.9075098740290573,0.0033856504390880242,PARP2,up
100381270,0.02791737978564779,0.8793993896205644,ZBED6,ns
10039,0.21849548050396095,0.21683527389215573,PARP3,ns
10042,0.4182485597110368,0.008756449536972091,HMGXB4,ns
100423062,3.5855542992737437,0.0008249399309876463,IGLL5,up
10043,-0.09782657519468252,0.7805984043593928,TOM1,ns
10044,-0.4098193972784987,0.14136278328046686,SH2D3C,ns
10045,-0.20512257578811344,0.3699712667879543,SH2D3A,ns
10046,-0.6084359619101418,0.0011211588412714836,MAMLD1,down
100462977,-0.7068055652657108,0.19414312267276393,MTRNR2L1,ns
100462981,-0.2960583753984771,0.559306677776429,MTRNR2L2,ns
100462983,-0.606284083828923,0.2741595917828641,MTRNR2L3,ns
100463482,-0.33736299580402296,0.530791204197861,MTRNR2L6,ns
100463486,-0.2435029409952154,0.5958965538536936,MTRNR2L8,ns
100463487,-0.5677247639849661,0.26114910996425883,MTRNR2L9,ns
100463488,-0.3294970960310444,0.5392510934206484,MTRNR2L10,ns
10048,0.26023814148255475,0.026170974661795212,RANBP9,ns
10049,-0.37349246329105057,0.02251102779369563,DNAJB6,ns
100499483,-0.20600940889036234,0.40422718673046626,CCDC180,ns
