0_names,0_logfoldchanges,0_pvals_adj,1_names,1_logfoldchanges,1_pvals_adj,2_names,2_logfoldchanges,2_pvals_adj,3_names,3_logfoldchanges,3_pvals_adj,4_names,4_logfoldchanges,4_pvals_adj,5_names,5_logfoldchanges,5_pvals_adj,6_names,6_logfoldchanges,6_pvals_adj,7_names,7_logfoldchanges,7_pvals_adj,8_names,8_logfoldchanges,8_pvals_adj,9_names,9_logfoldchanges,9_pvals_adj,10_names,10_logfoldchanges,10_pvals_adj,11_names,11_logfoldchanges,11_pvals_adj,12_names,12_logfoldchanges,12_pvals_adj
CDC45,1.6705904,9.270144059774173e-39,ACY3,2.265644,1.2381781193635695e-53,UQCR10,0.4364809,3.018123451544403e-18,MCM10,1.9867536,5.228481136250167e-60,LSP1P4,1.4522785,3.472862191087289e-10,CTNNB1,0.8461034,6.206611166847303e-34,SEC62,0.7194457,1.49717349938996e-09,KPNA2,1.1427073,1.5850789221409728e-55,DBI,0.56339884,1.497879392041767e-20,SLC35B1,1.1336305,4.799287463219032e-12,UBA52,1.6497973,7.70529859827058e-12,NANS,1.4517244,4.2163984560035894e-64,NRBF2,1.680889,1.2281279317540498e-43
CDCA3,1.8119514,3.028799172913093e-36,USH1C,2.108655,1.8713117095358988e-52,TMEM258,0.56546456,7.015002121866452e-18,HELLS,1.465846,3.756445256722196e-59,MAP1B,2.9751709,3.494155398256773e-10,SCP2,0.74252796,7.071392912231873e-34,DKK1,1.7837307,3.352013851021979e-09,MZT1,1.6918517,2.240812420361811e-55,RPS20,0.6338419,3.1753701636652905e-20,CDK1,1.9580088,6.2726159330654335e-12,ATP5F1E,1.7460563,7.743433294822706e-12,SELENOM,1.5324597,2.5975758372117294e-62,GARS1,1.4582645,5.041393799266044e-43
KIF15,2.0676718,1.248934695419919e-35,SLC51B,1.7960056,7.296872257714994e-51,ATP5MF,0.4728619,1.0359072225111729e-17,GINS2,1.6879448,2.581730334399763e-58,KRT19,1.8958198,4.1262262536627023e-10,A2M,1.0470593,2.713295294474685e-33,NUCKS1,0.7941889,3.352013851021979e-09,HMMR,2.5067775,9.132685498329115e-55,RPS3A,0.5581713,3.496743356457631e-20,ASNS,1.7678255,8.970688361924383e-12,RPS14,1.3976454,9.592419701913689e-12,DNAJB11,1.1163756,2.8463472083090764e-60,ASNS,2.1212041,8.041736963866966e-43
CDCA8,1.7448305,1.3155246523270978e-35,SCGN,1.4720044,3.2961766561601772e-49,ATP5ME,0.5388558,1.1299697312235132e-17,CCNE1,2.2533824,4.903818983782987e-58,TMSB10,1.2054816,4.1262262536627023e-10,PGAM1,0.67680293,3.513334132941959e-33,SNRPG,0.51111025,3.690694747807993e-09,KNSTRN,1.9867322,3.3439539816221423e-53,MGST1,0.7156541,3.496743356457631e-20,MTHFD2,1.4820606,1.1662799043923044e-11,TMA7,1.4851826,9.98901670307669e-12,ASNS,1.9858199,6.921468181647563e-60,DNAJB9,1.9948127,8.332057163005942e-43
CLSPN,1.3998407,1.8943678474521694e-35,KRT19,1.5384691,3.981553409046661e-48,MT-RNR1,0.5830052,1.1670946810699004e-17,GINS1,1.8414901,1.1246697133848259e-56,SERPINE1,2.5222583,4.1262262536627023e-10,ABCA1,1.3200054,4.618913741080183e-33,NOP56,0.57519996,9.280730308476223e-09,PRR11,2.1571033,1.9173012439890343e-52,PSMA4,0.49544212,5.507076893385735e-20,TOP2A,2.0262716,1.5282939738190116e-11,RPL41,1.2948568,1.0788632495492045e-11,SARS1,1.4704261,1.052290742099215e-59,SHMT2,1.4521453,8.851886733314528e-43
FANCD2,1.3020834,4.464555827642677e-35,TMEM160,0.89084995,7.148288897629783e-48,RPS28,0.4955243,1.247111241643827e-17,NCAPG,2.0364585,2.8856224116749373e-55,MYH9,1.6154991,8.466001426716905e-10,ALB,0.99670833,6.329617923646241e-33,PTMA,0.7028089,1.981429438627989e-08,KIF2C,2.1963377,8.722512108354436e-52,ETFA,0.55716884,5.592837667265882e-20,TMEM258,0.9861279,1.5282939738190116e-11,NDUFB2,1.9052783,1.1595307004084108e-11,EIF2S2,0.98401,1.8607114260474258e-59,MTHFD2,1.9465424,1.2228280882871179e-42
CENPF,1.6038095,1.0948672923158039e-34,CD9,2.0405486,7.148288897629783e-48,RPL8,0.3635067,2.2339914055644182e-17,TYMS,1.3526344,7.274958362056242e-55,ACTG1,1.3884293,1.1553393477983112e-09,MMD,0.89207006,8.147295373483342e-33,RPS15,0.53827727,2.4898797203611892e-08,CDC25B,2.0403416,1.2317468466065783e-51,RPL41P5,0.9632702,2.154837302412695e-19,EXOSC8,0.8481368,1.8006282126442897e-11,RPL36,1.9231815,1.1595307004084108e-11,DERL2,1.3289741,5.980341349711837e-59,ARL8B,1.5311846,1.2431666193139271e-42
CDCA2,2.177892,1.1662268429458604e-34,TIMP3,1.4690139,1.4497182965796236e-47,CCND1,0.72580636,2.4253704643984816e-17,RAD51,1.97897,4.2069724049969616e-54,TNFRSF12A,1.5215393,2.6998271358925448e-09,SEC23A,1.1461462,9.201238562087715e-33,TRMT112,0.5648074,2.5078108614662656e-08,HMGB2,1.7827268,1.3843219840679177e-50,HINT1,0.5399827,4.630550168540737e-19,H1-0,2.1184113,1.8006282126442897e-11,RPS17,1.4888237,1.1837530992575687e-11,RPL10,0.68746746,3.087230275356478e-58,ASNSP1,2.6819508,3.149069437354717e-42
PTMA,0.77235126,1.1662268429458604e-34,RAMP1,1.8626332,1.1894757477430035e-46,RPS9,0.44688335,4.498493101138231e-17,CDCA5,2.0427518,4.806335973901328e-53,RAC1,0.7202237,4.464964425420595e-09,SLC40A1,1.1533018,9.660056860809593e-33,HMGB3,0.9541119,2.5078108614662656e-08,DYNLL1,0.9072855,1.4055886726442688e-49,RPL7A,0.49876145,5.835598971314197e-19,CDCA3,2.0604405,1.8006282126442897e-11,RPL37,1.5039779,1.2366705723365668e-11,MANF,1.779897,2.0117005381352943e-57,EIF1,0.90960413,3.489018713498753e-42
MELK,1.4196793,5.225051266428705e-34,CDX2,2.12126,1.3078745960957774e-46,ETFB,0.44982675,7.064211276391428e-17,CDCA4,1.7656633,2.562992037236998e-51,CNN3,0.7740014,5.925214205371891e-09,FGA,1.1241763,1.0785153954036613e-32,JPT1,0.81964546,3.030543146453827e-08,HSPA8,1.236198,1.907503038458171e-49,MPC2,0.63476026,1.1100201523122786e-18,NDC80,2.1591368,2.176527914435347e-11,NDUFB1,2.0507865,1.309773492040706e-11,DNAJC3,1.6415747,2.2143596254484535e-57,MOB4,1.7945284,7.758392147250175e-42
