Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059),4/29,4.767721039051249e-05,0.0010660135246288,0,0,23.33529411764706,232.21084289923712,ERN1;DDIT3;TRIB3;CHAC1
GO_Biological_Process_2021,UDP-N-acetylglucosamine biosynthetic process (GO:0006048),3/11,5.315958525872039e-05,0.0011306136181854,0,0,54.33941605839416,534.8200596444891,GFPT1;PGM3;UAP1
GO_Biological_Process_2021,signal peptide processing (GO:0006465),3/11,5.315958525872039e-05,0.0011306136181854,0,0,54.33941605839416,534.8200596444891,SPCS2;HM13;SEC11C
Reactome_2022,Vesicle-mediated Transport R-HSA-5653656,14/637,0.00015563299074067066,0.0013729053111766,0,0,3.4308899589798467,30.08207728375644,COPA;SAR1B;COPB1;USO1;HSP90B1;SCFD1;GOLGB1;PREB;HYOU1;ACBD3;SEC24D;RAB5A;COPE;BET1
GO_Biological_Process_2021,intra-Golgi vesicle-mediated transport (GO:0006891),4/32,7.101939909756735e-05,0.0014402073491413,0,0,20.831932773109244,198.99823547452823,COPA;GOLGA5;COPB1;COPE
GO_Biological_Process_2021,amino sugar biosynthetic process (GO:0046349),3/12,7.051632109994884e-05,0.0014402073491413,0,0,48.2992700729927,461.72490781114647,GFPT1;PGM3;UAP1
GO_Biological_Process_2021,endomembrane system organization (GO:0010256),8/199,8.122016571113793e-05,0.0016096360113661,0,0,6.241155005552911,58.78136349458197,SEC61A1;GOLGA5;GORASP2;GOLGB1;GOLPH3L;ARL1;LYSMD3;TMED5
GO_Biological_Process_2021,negative regulation of intrinsic apoptotic signaling pathway (GO:2001243),5/64,8.560199325107218e-05,0.001640756380282,0,0,12.430006277463905,116.4169775222768,XBP1;SELENOS;SYVN1;HYOU1;HERPUD1
GO_Biological_Process_2021,protein targeting to ER (GO:0045047),6/103,8.655366226258674e-05,0.001640756380282,0,0,9.122788121249425,85.34136535221448,SRP19;SEC61A1;SPCS2;EDEM1;ZFAND2A;SRP54
GO_Biological_Process_2021,positive regulation of protein exit from endoplasmic reticulum (GO:0070863),3/13,9.120169026860544e-05,0.0016568307065463,0,0,43.46715328467153,404.3504605380954,SAR1B;EDEM1;EDEM2
GO_Biological_Process_2021,UDP-N-acetylglucosamine metabolic process (GO:0006047),3/13,9.120169026860544e-05,0.0016568307065463,0,0,43.46715328467153,404.3504605380954,GFPT1;PGM3;UAP1
GO_Biological_Process_2021,cellular response to peptide hormone stimulus (GO:0071375),6/106,0.00010151013955546606,0.001806466156987,0,0,8.84776119402985,81.3582774175983,XBP1;SELENOS;EPRS1;MARS1;TRIB3;PCK2
GO_Biological_Process_2021,translation (GO:0006412),8/214,0.0001344258953045629,0.0023443876141115,0,0,5.782288908502501,51.54619987478182,GARS1;AARS1;EPRS1;MARS1;IARS1;YARS1;CARS1;TARS1
GO_Biological_Process_2021,serine family amino acid metabolic process (GO:0009069),3/16,0.00017584828486529795,0.003006660870638,0,0,33.43121841661988,289.042601976465,SHMT2;CTH;PSPH
GO_Biological_Process_2021,organelle organization (GO:0006996),11/420,0.0001844314153401949,0.0030927729649355,0,0,4.055287049146149,34.86830250936778,SEC61A1;GOLGA5;HAX1;MSTO1;SAR1B;GORASP2;GOLGB1;GOLPH3L;ARL1;LYSMD3;TMED5
Reactome_2022,Synthesis Of GDP-mannose R-HSA-446205,2/5,0.0004798305111429592,0.0040868322845624,0,0,95.92753623188406,733.0856776070341,GMPPB;GMPPA
MSigDB_Hallmark_2020,Apoptosis,6/161,0.0009575610336557395,0.0045142163015199,0,0,5.692344727973038,39.56817752556754,ISG20;DNAJC3;DDIT3;CTH;PMAIP1;ATF3
GO_Biological_Process_2021,cellular response to insulin stimulus (GO:0032869),6/129,0.0002968468516274145,0.0048240584124296,0,0,7.184929013469239,58.358107276802606,XBP1;SELENOS;EPRS1;MARS1;TRIB3;PCK2
GO_Biological_Process_2021,establishment of protein localization to extracellular region (GO:0035592),4/46,0.00029873756223761365,0.0048240584124296,0,0,13.878151260504202,112.63431355685532,SEL1L;PREB;TVP23B;PDIA4
Reactome_2022,Hh Mutants Are Degraded By ERAD R-HSA-5362768,4/55,0.0005947043285025368,0.0048963989713375,0,0,11.423875432525952,84.85022020273753,ERLEC1;SEL1L;SYVN1;DERL2
