symbol,rho_DENV,padj_DENV,rho_ZIKV,padj_ZIKV,direction,mean_abs_rho,in_DE_core
PPT1,-0.24272656730523584,1.4070426777668292e-12,-0.4115646188397292,4.9773659196985596e-18,down_with_progression,0.32714559307248253,False
MCFD2,0.36417317642268215,1.8661860083799155e-28,0.2900557368827933,5.82236023425443e-09,up_with_progression,0.32711445665273775,False
UFM1,0.3359530180162022,4.506839599631084e-24,0.317693855748964,1.1473732246529751e-10,up_with_progression,0.3268234368825831,False
DDOST,0.3253550889252742,1.5122098915336224e-22,0.3267548204570112,2.8975504975082418e-11,up_with_progression,0.3260549546911427,False
MRPS26,-0.33038460617475135,2.9286153361189856e-23,-0.32018354731516757,7.888741198343176e-11,down_with_progression,0.32528407674495946,False
RPA3,-0.20566483261416788,3.347896164921443e-09,-0.4438161563244558,3.575366758002032e-21,down_with_progression,0.32474049446931186,False
HMGN2P41,-0.22920258404048913,2.836767343456712e-11,-0.42026534289271533,7.550425498856275e-19,down_with_progression,0.3247339634666022,False
RBM12,-0.20839913312499705,1.9634276691913187e-09,-0.44089014174773355,7.244844949967523e-21,down_with_progression,0.3246446374363653,False
GORAB,0.21696609528049104,3.610437589418179e-10,0.4316285403450036,6.206210400968597e-20,up_with_progression,0.3242973178127473,False
PDIA4,0.3436145155242233,3.3539173277508852e-25,0.3038740754116542,8.561328533155251e-10,up_with_progression,0.3237442954679387,False
NREP,-0.25593544828953785,6.155549238292029e-14,-0.3909266916788787,3.5378762361066933e-16,down_with_progression,0.3234310699842083,False
SKP2,-0.33904164347744636,1.5773873841062074e-24,-0.30501918821818363,7.294977971043975e-10,down_with_progression,0.322030415847815,False
HMGN2P3,-0.22180314444532948,1.3556512094666967e-10,-0.42174017034756156,5.487408796219543e-19,down_with_progression,0.32177165739644553,False
PIM3,0.2883560806171921,1.2359734754159021e-17,0.3550377638577862,2.6671194431238936e-13,up_with_progression,0.32169692223748914,False
CCN2,-0.3296319198371169,3.745404125519556e-23,-0.3126312066529879,2.4297217902751207e-10,down_with_progression,0.32113156324505243,False
H2BC9,-0.2384801012057843,3.6901647988595195e-12,-0.40211490552082246,3.640617604106678e-17,down_with_progression,0.32029750336330337,False
SDC1,-0.2679010867664552,3.12824931364239e-15,-0.3710703801085153,1.5583947054178267e-14,down_with_progression,0.3194857334374852,False
RP9,0.23090673852414562,1.9638740536569984e-11,0.40594220126947367,1.6361752631702036e-17,up_with_progression,0.3184244698968096,False
UBE2L3,-0.2524087773648371,1.453460330371601e-13,-0.3843138599661717,1.2701436935487913e-15,down_with_progression,0.3183613186655044,False
UBE2J1,0.2836162252007138,4.7246132348482676e-17,0.35202406108247397,4.506284120022672e-13,up_with_progression,0.3178201431415939,False
TK1,-0.33016126875767926,3.1351562593135144e-23,-0.3040818242182132,8.348703137866623e-10,down_with_progression,0.3171215464879462,False
HSD17B7,0.20211135839558564,6.5408191749085216e-09,0.43153440225073597,6.290513156564203e-20,up_with_progression,0.3168228803231608,False
TERF2IP,0.21312577431988466,7.790662793227659e-10,0.4204205159250574,7.314854095021817e-19,up_with_progression,0.316773145122471,False
SERPIND1,-0.27107765652120763,1.3670962898765093e-15,-0.36227849332621603,7.571673722595822e-14,down_with_progression,0.3166780749237118,False
SLC1A4,0.26934876517071454,2.138823376375086e-15,0.36302055117363485,6.62990324345981e-14,up_with_progression,0.31618465817217467,True
GHITM,0.2374927113441388,4.590009294237393e-12,0.3946071157862113,1.7025098214072481e-16,up_with_progression,0.3160499135651751,False
PDCD4,0.34564468723330505,1.6395376615931772e-25,0.28615725916417,9.774745024851698e-09,up_with_progression,0.31590097319873756,False
DNAJC10,0.3579217082783824,1.8830651699774257e-27,0.273340891172465,5.07735316304745e-08,up_with_progression,0.3156312997254237,False
GSTO1,-0.2032017205083864,5.336375900483689e-09,-0.42654581874037895,1.9281900291233116e-19,down_with_progression,0.3148737696243827,False
SEL1L,0.3988913308074413,1.524199001856606e-34,0.2278987000431532,8.6793774257727e-06,up_with_progression,0.31339501542529724,False
SLC25A3,-0.3270009567704077,8.829487743712371e-23,-0.2961933210878587,2.496974655176786e-09,down_with_progression,0.3115971389291332,False
MCEE,0.34873023061621955,5.469996088282029e-26,0.27441110235581334,4.4243284077316955e-08,up_with_progression,0.31157066648601645,False
ZWINT,-0.3605696531165561,7.141615791745491e-28,-0.26256824105693566,1.8966373629000396e-07,down_with_progression,0.3115689470867459,False
STC2,0.2815301112011166,8.228686941780442e-17,0.34054242826749553,3.0976349159998904e-12,up_with_progression,0.3110362697343061,False
SRP72,0.3718439696049008,1.0124616583353709e-29,0.2500725508520058,8.110880859884736e-07,up_with_progression,0.3109582602284533,False
SUMO3,-0.24513778022526042,8.164817000090715e-13,-0.3746157132243582,8.006822590724062e-15,down_with_progression,0.3098767467248093,False
PCLAF,-0.2822215628354017,6.80699727623742e-17,-0.3373185070113541,5.266181438937814e-12,down_with_progression,0.30977003492337785,False
LZTFL1,0.3578024170926303,1.9584222854493198e-27,0.2615728051762483,2.124284692797516e-07,up_with_progression,0.3096876111344393,False
DGAT2,-0.30339784959479243,1.5692730664716627e-19,-0.3143649706220779,1.8836170854122625e-10,down_with_progression,0.3088814101084352,False
GINS2,-0.3963168181646196,4.659570083751988e-34,-0.22108508240809033,1.7099275964448233e-05,down_with_progression,0.30870095028635497,False
LRPAP1,-0.26270301403763163,1.1743601496059459e-14,-0.35335504533137124,3.5747061542060227e-13,down_with_progression,0.3080290296845014,False
KIZ,0.3017462497762586,2.5502534190280553e-19,0.3142079396555233,1.9199618562557216e-10,up_with_progression,0.30797709471589096,False
EIF1AX,-0.23814409484087584,3.983636679452478e-12,-0.376658552784976,5.481192218284586e-15,down_with_progression,0.30740132381292595,False
FEN1,-0.28973852928429217,8.496093476113766e-18,-0.32500522390740993,3.792260842817054e-11,down_with_progression,0.3073718765958511,False
LTAP1,0.2691917520398352,2.2267646399940933e-15,0.34381415797360376,1.8131511337657665e-12,up_with_progression,0.3065029550067195,False
NME4,-0.30335891495985046,1.5830056710685042e-19,-0.3094079504215441,3.860213683482817e-10,down_with_progression,0.3063834326906973,False
KLB,-0.21563845420182198,4.721728291517882e-10,-0.3948999493345271,1.6059135484007077e-16,down_with_progression,0.3052692017681745,False
HMGB3,-0.21334338434004352,7.475783935667294e-10,-0.39457981334723186,1.7069968132194444e-16,down_with_progression,0.3039615988436377,False
FICD,0.3464551821194267,1.2401595837289542e-25,0.2606373289395059,2.3803487357193554e-07,up_with_progression,0.30354625552946635,False
ITCH,0.224458133301539,7.805147086555251e-11,0.38254630697387565,1.7858644156109674e-15,up_with_progression,0.30350222013770733,False
FGB,-0.2627080132572665,1.1743601496059459e-14,-0.34429440406589124,1.6786627069563621e-12,down_with_progression,0.30350120866157887,False
ZDHHC12,-0.3094671565218397,2.471274831576738e-20,-0.2958306286927016,2.62161145364061e-09,down_with_progression,0.3026488926072707,False
NUCLEOLIN,-0.28509447163507906,3.1290342860070364e-17,-0.31979740026410924,8.357789974512204e-11,down_with_progression,0.3024459359495941,False
